"","method","correlation","n_samples","prob_data","iteration","group_stack","V1"
"103","CPI-DNN",0.8,1000,"regression",3,FALSE,1
"104","CPI-DNN",0.8,1000,"regression",4,FALSE,1
"105","CPI-DNN",0.8,1000,"regression",5,FALSE,1
"106","CPI-DNN",0.8,1000,"regression",6,FALSE,1
"107","CPI-DNN",0.8,1000,"regression",7,FALSE,1
"108","CPI-DNN",0.8,1000,"regression",8,FALSE,1
"109","CPI-DNN",0.8,1000,"regression",9,FALSE,1
"110","CPI-DNN",0.8,1000,"regression",10,FALSE,1
"111","CPI-DNN",0.8,1000,"regression",11,FALSE,1
"112","CPI-DNN",0.8,1000,"regression",12,FALSE,1
"113","CPI-DNN",0.8,1000,"regression",13,FALSE,1
"114","CPI-DNN",0.8,1000,"regression",14,FALSE,1
"115","CPI-DNN",0.8,1000,"regression",15,FALSE,1
"116","CPI-DNN",0.8,1000,"regression",16,FALSE,1
"117","CPI-DNN",0.8,1000,"regression",17,FALSE,1
"118","CPI-DNN",0.8,1000,"regression",18,FALSE,1
"119","CPI-DNN",0.8,1000,"regression",19,FALSE,1
"120","CPI-DNN",0.8,1000,"regression",20,FALSE,1
"121","CPI-DNN",0.8,1000,"regression",21,FALSE,1
"122","CPI-DNN",0.8,1000,"regression",22,FALSE,1
"123","CPI-DNN",0.8,1000,"regression",23,FALSE,1
"124","CPI-DNN",0.8,1000,"regression",24,FALSE,1
"125","CPI-DNN",0.8,1000,"regression",25,FALSE,1
"126","CPI-DNN",0.8,1000,"regression",26,FALSE,1
"127","CPI-DNN",0.8,1000,"regression",27,FALSE,1
"128","CPI-DNN",0.8,1000,"regression",28,FALSE,1
"129","CPI-DNN",0.8,1000,"regression",29,FALSE,1
"130","CPI-DNN",0.8,1000,"regression",30,FALSE,1
"131","CPI-DNN",0.8,1000,"regression",31,FALSE,1
"132","CPI-DNN",0.8,1000,"regression",32,FALSE,1
"133","CPI-DNN",0.8,1000,"regression",33,FALSE,1
"134","CPI-DNN",0.8,1000,"regression",34,FALSE,1
"135","CPI-DNN",0.8,1000,"regression",35,FALSE,1
"136","CPI-DNN",0.8,1000,"regression",36,FALSE,1
"137","CPI-DNN",0.8,1000,"regression",37,FALSE,1
"138","CPI-DNN",0.8,1000,"regression",38,FALSE,1
"139","CPI-DNN",0.8,1000,"regression",39,FALSE,1
"140","CPI-DNN",0.8,1000,"regression",40,FALSE,1
"141","CPI-DNN",0.8,1000,"regression",41,FALSE,1
"142","CPI-DNN",0.8,1000,"regression",42,FALSE,1
"143","CPI-DNN",0.8,1000,"regression",43,FALSE,1
"144","CPI-DNN",0.8,1000,"regression",44,FALSE,1
"145","CPI-DNN",0.8,1000,"regression",45,FALSE,1
"146","CPI-DNN",0.8,1000,"regression",46,FALSE,1
"147","CPI-DNN",0.8,1000,"regression",47,FALSE,1
"148","CPI-DNN",0.8,1000,"regression",48,FALSE,1
"149","CPI-DNN",0.8,1000,"regression",49,FALSE,1
"150","CPI-DNN",0.8,1000,"regression",50,FALSE,1
"151","CPI-DNN",0.8,1000,"regression",51,FALSE,1
"152","CPI-DNN",0.8,1000,"regression",52,FALSE,1
"153","CPI-DNN",0.8,1000,"regression",53,FALSE,1
"154","CPI-DNN",0.8,1000,"regression",54,FALSE,1
"155","CPI-DNN",0.8,1000,"regression",55,FALSE,1
"156","CPI-DNN",0.8,1000,"regression",56,FALSE,1
"157","CPI-DNN",0.8,1000,"regression",57,FALSE,1
"158","CPI-DNN",0.8,1000,"regression",58,FALSE,1
"159","CPI-DNN",0.8,1000,"regression",59,FALSE,1
"160","CPI-DNN",0.8,1000,"regression",60,FALSE,1
"161","CPI-DNN",0.8,1000,"regression",61,FALSE,1
"162","CPI-DNN",0.8,1000,"regression",62,FALSE,0.4
"163","CPI-DNN",0.8,1000,"regression",63,FALSE,1
"164","CPI-DNN",0.8,1000,"regression",64,FALSE,1
"165","CPI-DNN",0.8,1000,"regression",65,FALSE,1
"166","CPI-DNN",0.8,1000,"regression",66,FALSE,1
"167","CPI-DNN",0.8,1000,"regression",67,FALSE,1
"168","CPI-DNN",0.8,1000,"regression",68,FALSE,1
"169","CPI-DNN",0.8,1000,"regression",69,FALSE,1
"170","CPI-DNN",0.8,1000,"regression",70,FALSE,1
"171","CPI-DNN",0.8,1000,"regression",71,FALSE,1
"172","CPI-DNN",0.8,1000,"regression",72,FALSE,1
"173","CPI-DNN",0.8,1000,"regression",73,FALSE,1
"174","CPI-DNN",0.8,1000,"regression",74,FALSE,1
"175","CPI-DNN",0.8,1000,"regression",75,FALSE,1
"176","CPI-DNN",0.8,1000,"regression",76,FALSE,1
"177","CPI-DNN",0.8,1000,"regression",77,FALSE,1
"178","CPI-DNN",0.8,1000,"regression",78,FALSE,1
"179","CPI-DNN",0.8,1000,"regression",79,FALSE,1
"180","CPI-DNN",0.8,1000,"regression",80,FALSE,1
"181","CPI-DNN",0.8,1000,"regression",81,FALSE,1
"182","CPI-DNN",0.8,1000,"regression",82,FALSE,1
"183","CPI-DNN",0.8,1000,"regression",83,FALSE,1
"184","CPI-DNN",0.8,1000,"regression",84,FALSE,1
"185","CPI-DNN",0.8,1000,"regression",85,FALSE,1
"186","CPI-DNN",0.8,1000,"regression",86,FALSE,1
"187","CPI-DNN",0.8,1000,"regression",87,FALSE,1
"188","CPI-DNN",0.8,1000,"regression",88,FALSE,1
"189","CPI-DNN",0.8,1000,"regression",89,FALSE,1
"190","CPI-DNN",0.8,1000,"regression",90,FALSE,1
"191","CPI-DNN",0.8,1000,"regression",91,FALSE,1
"192","CPI-DNN",0.8,1000,"regression",92,FALSE,1
"193","CPI-DNN",0.8,1000,"regression",93,FALSE,1
"194","CPI-DNN",0.8,1000,"regression",94,FALSE,1
"195","CPI-DNN",0.8,1000,"regression",95,FALSE,1
"196","CPI-DNN",0.8,1000,"regression",96,FALSE,1
"197","CPI-DNN",0.8,1000,"regression",97,FALSE,1
"198","CPI-DNN",0.8,1000,"regression",98,FALSE,1
"199","CPI-DNN",0.8,1000,"regression",99,FALSE,1
"200","CPI-DNN",0.8,1000,"regression",100,FALSE,1
