"","n_samples","method","iteration","prob_data","group_stack","V1"
"94",1000,"CPI-DNN",94,"regression",TRUE,2230.41140913963
"95",1000,"CPI-DNN",95,"regression",TRUE,2246.73342037201
"96",1000,"CPI-DNN",96,"regression",TRUE,2229.79712080956
"97",1000,"CPI-DNN",97,"regression",TRUE,2244.93087673187
"98",1000,"CPI-DNN",98,"regression",TRUE,2248.88285589218
"99",1000,"CPI-DNN",99,"regression",TRUE,2248.38076519966
"100",1000,"CPI-DNN",100,"regression",TRUE,2242.91009879112
"101",1000,"CPI-DNN",1,"regression",FALSE,4112.97791838646
"102",1000,"CPI-DNN",2,"regression",FALSE,4185.01093888283
"103",1000,"CPI-DNN",3,"regression",FALSE,4324.39071393013
"104",1000,"CPI-DNN",4,"regression",FALSE,4223.65847873688
"105",1000,"CPI-DNN",5,"regression",FALSE,4425.25912547112
"106",1000,"CPI-DNN",6,"regression",FALSE,4424.03621125221
"107",1000,"CPI-DNN",7,"regression",FALSE,4373.68702077866
"108",1000,"CPI-DNN",8,"regression",FALSE,4445.40815544128
"109",1000,"CPI-DNN",9,"regression",FALSE,3804.05586433411
"110",1000,"CPI-DNN",10,"regression",FALSE,4612.4043674469
"111",1000,"CPI-DNN",11,"regression",FALSE,4543.07621335983
"112",1000,"CPI-DNN",12,"regression",FALSE,4381.21216583252
"113",1000,"CPI-DNN",13,"regression",FALSE,4488.27168393135
"114",1000,"CPI-DNN",14,"regression",FALSE,4368.90529918671
"115",1000,"CPI-DNN",15,"regression",FALSE,4448.87143969536
"116",1000,"CPI-DNN",16,"regression",FALSE,4518.13539671898
"117",1000,"CPI-DNN",17,"regression",FALSE,4438.51085972786
"118",1000,"CPI-DNN",18,"regression",FALSE,4583.84729456902
"119",1000,"CPI-DNN",19,"regression",FALSE,4521.40977668762
"120",1000,"CPI-DNN",20,"regression",FALSE,4514.59136652946
"121",1000,"CPI-DNN",21,"regression",FALSE,4221.90053057671
"122",1000,"CPI-DNN",22,"regression",FALSE,4292.80978155136
"123",1000,"CPI-DNN",23,"regression",FALSE,4178.9202105999
"124",1000,"CPI-DNN",24,"regression",FALSE,4167.40623831749
"125",1000,"CPI-DNN",25,"regression",FALSE,4350.09800672531
"126",1000,"CPI-DNN",26,"regression",FALSE,4492.75735759735
"127",1000,"CPI-DNN",27,"regression",FALSE,4375.48882484436
"128",1000,"CPI-DNN",28,"regression",FALSE,4405.50270366669
"129",1000,"CPI-DNN",29,"regression",FALSE,4297.52740550041
"130",1000,"CPI-DNN",30,"regression",FALSE,4442.38241529465
"131",1000,"CPI-DNN",31,"regression",FALSE,4552.9098367691
"132",1000,"CPI-DNN",32,"regression",FALSE,4389.40283298492
"133",1000,"CPI-DNN",33,"regression",FALSE,4471.35080289841
"134",1000,"CPI-DNN",34,"regression",FALSE,4335.70161223412
"135",1000,"CPI-DNN",35,"regression",FALSE,4464.52028346062
"136",1000,"CPI-DNN",36,"regression",FALSE,4242.26770710945
"137",1000,"CPI-DNN",37,"regression",FALSE,4436.01681518555
"138",1000,"CPI-DNN",38,"regression",FALSE,4296.47664952278
"139",1000,"CPI-DNN",39,"regression",FALSE,4249.62359309196
"140",1000,"CPI-DNN",40,"regression",FALSE,4550.58296394348
"141",1000,"CPI-DNN",41,"regression",FALSE,4308.56337809563
"142",1000,"CPI-DNN",42,"regression",FALSE,4450.20406699181
"143",1000,"CPI-DNN",43,"regression",FALSE,4516.83780312538
"144",1000,"CPI-DNN",44,"regression",FALSE,4787.80193185806
"145",1000,"CPI-DNN",45,"regression",FALSE,4513.89421653748
"146",1000,"CPI-DNN",46,"regression",FALSE,4224.94310927391
"147",1000,"CPI-DNN",47,"regression",FALSE,4582.13807010651
"148",1000,"CPI-DNN",48,"regression",FALSE,4430.33922719955
"149",1000,"CPI-DNN",49,"regression",FALSE,4758.39019727707
"150",1000,"CPI-DNN",50,"regression",FALSE,4625.49682927132
"151",1000,"CPI-DNN",51,"regression",FALSE,4474.32273197174
"152",1000,"CPI-DNN",52,"regression",FALSE,4478.95801138878
"153",1000,"CPI-DNN",53,"regression",FALSE,4251.00005054474
"154",1000,"CPI-DNN",54,"regression",FALSE,4360.260679245
"155",1000,"CPI-DNN",55,"regression",FALSE,4525.67386507988
"156",1000,"CPI-DNN",56,"regression",FALSE,4592.47438359261
"157",1000,"CPI-DNN",57,"regression",FALSE,4515.51829886436
"158",1000,"CPI-DNN",58,"regression",FALSE,4455.36360263824
"159",1000,"CPI-DNN",59,"regression",FALSE,4686.35932350159
"160",1000,"CPI-DNN",60,"regression",FALSE,4372.3776371479
"161",1000,"CPI-DNN",61,"regression",FALSE,4122.98494887352
"162",1000,"CPI-DNN",62,"regression",FALSE,4698.22863149643
"163",1000,"CPI-DNN",63,"regression",FALSE,4412.47468423843
"164",1000,"CPI-DNN",64,"regression",FALSE,4628.81612920761
"165",1000,"CPI-DNN",65,"regression",FALSE,4363.37823438644
"166",1000,"CPI-DNN",66,"regression",FALSE,4224.18535590172
"167",1000,"CPI-DNN",67,"regression",FALSE,4400.11609554291
"168",1000,"CPI-DNN",68,"regression",FALSE,4516.73492574692
"169",1000,"CPI-DNN",69,"regression",FALSE,4315.49089336395
"170",1000,"CPI-DNN",70,"regression",FALSE,4235.65312480927
"171",1000,"CPI-DNN",71,"regression",FALSE,4634.3928527832
"172",1000,"CPI-DNN",72,"regression",FALSE,4471.19513678551
"173",1000,"CPI-DNN",73,"regression",FALSE,4159.27175521851
"174",1000,"CPI-DNN",74,"regression",FALSE,4007.16425585747
"175",1000,"CPI-DNN",75,"regression",FALSE,4460.18707537651
"176",1000,"CPI-DNN",76,"regression",FALSE,4335.6888988018
"177",1000,"CPI-DNN",77,"regression",FALSE,3607.92980027199
"178",1000,"CPI-DNN",78,"regression",FALSE,4223.91258883476
"179",1000,"CPI-DNN",79,"regression",FALSE,4507.66879177094
"180",1000,"CPI-DNN",80,"regression",FALSE,4548.10812115669
"181",1000,"CPI-DNN",81,"regression",FALSE,3760.99706697464
"182",1000,"CPI-DNN",82,"regression",FALSE,4609.12825632095
"183",1000,"CPI-DNN",83,"regression",FALSE,4536.75904393196
"184",1000,"CPI-DNN",84,"regression",FALSE,4336.29814219475
"185",1000,"CPI-DNN",85,"regression",FALSE,4435.32928514481
"186",1000,"CPI-DNN",86,"regression",FALSE,4087.8100373745
"187",1000,"CPI-DNN",87,"regression",FALSE,4435.43444466591
"188",1000,"CPI-DNN",88,"regression",FALSE,4381.31785416603
"189",1000,"CPI-DNN",89,"regression",FALSE,4389.9657125473
"190",1000,"CPI-DNN",90,"regression",FALSE,4577.79171991348
"191",1000,"CPI-DNN",91,"regression",FALSE,4363.56564283371
"192",1000,"CPI-DNN",92,"regression",FALSE,4280.28726530075
"193",1000,"CPI-DNN",93,"regression",FALSE,4312.76539111137
"194",1000,"CPI-DNN",94,"regression",FALSE,4364.6887319088
"195",1000,"CPI-DNN",95,"regression",FALSE,4475.24750757217
"196",1000,"CPI-DNN",96,"regression",FALSE,4527.99253201485
"197",1000,"CPI-DNN",97,"regression",FALSE,4432.17343330383
"198",1000,"CPI-DNN",98,"regression",FALSE,4059.50351262093
"199",1000,"CPI-DNN",99,"regression",FALSE,4364.67869710922
"200",1000,"CPI-DNN",100,"regression",FALSE,4194.05335283279
