"","method","correlation","n_samples","prob_data","iteration","group_stack","V1"
"101","CPI-DNN",0.8,1000,"regression",1,FALSE,0.2
"102","CPI-DNN",0.8,1000,"regression",2,FALSE,0
"103","CPI-DNN",0.8,1000,"regression",3,FALSE,0
"104","CPI-DNN",0.8,1000,"regression",4,FALSE,0
"105","CPI-DNN",0.8,1000,"regression",5,FALSE,0
"106","CPI-DNN",0.8,1000,"regression",6,FALSE,0
"107","CPI-DNN",0.8,1000,"regression",7,FALSE,0
"108","CPI-DNN",0.8,1000,"regression",8,FALSE,0
"109","CPI-DNN",0.8,1000,"regression",9,FALSE,0
"110","CPI-DNN",0.8,1000,"regression",10,FALSE,0
"111","CPI-DNN",0.8,1000,"regression",11,FALSE,0
"112","CPI-DNN",0.8,1000,"regression",12,FALSE,0
"113","CPI-DNN",0.8,1000,"regression",13,FALSE,0
"114","CPI-DNN",0.8,1000,"regression",14,FALSE,0
"115","CPI-DNN",0.8,1000,"regression",15,FALSE,0
"116","CPI-DNN",0.8,1000,"regression",16,FALSE,0
"117","CPI-DNN",0.8,1000,"regression",17,FALSE,0.2
"118","CPI-DNN",0.8,1000,"regression",18,FALSE,0.2
"119","CPI-DNN",0.8,1000,"regression",19,FALSE,0
"120","CPI-DNN",0.8,1000,"regression",20,FALSE,0
"121","CPI-DNN",0.8,1000,"regression",21,FALSE,0.2
"122","CPI-DNN",0.8,1000,"regression",22,FALSE,0
"123","CPI-DNN",0.8,1000,"regression",23,FALSE,0
"124","CPI-DNN",0.8,1000,"regression",24,FALSE,0
"125","CPI-DNN",0.8,1000,"regression",25,FALSE,0
"126","CPI-DNN",0.8,1000,"regression",26,FALSE,0
"127","CPI-DNN",0.8,1000,"regression",27,FALSE,0
"128","CPI-DNN",0.8,1000,"regression",28,FALSE,0.2
"129","CPI-DNN",0.8,1000,"regression",29,FALSE,0.2
"130","CPI-DNN",0.8,1000,"regression",30,FALSE,0
"131","CPI-DNN",0.8,1000,"regression",31,FALSE,0
"132","CPI-DNN",0.8,1000,"regression",32,FALSE,0
"133","CPI-DNN",0.8,1000,"regression",33,FALSE,0.2
"134","CPI-DNN",0.8,1000,"regression",34,FALSE,0
"135","CPI-DNN",0.8,1000,"regression",35,FALSE,0
"136","CPI-DNN",0.8,1000,"regression",36,FALSE,0
"137","CPI-DNN",0.8,1000,"regression",37,FALSE,0
"138","CPI-DNN",0.8,1000,"regression",38,FALSE,0
"139","CPI-DNN",0.8,1000,"regression",39,FALSE,0
"140","CPI-DNN",0.8,1000,"regression",40,FALSE,0
"141","CPI-DNN",0.8,1000,"regression",41,FALSE,0.2
"142","CPI-DNN",0.8,1000,"regression",42,FALSE,0.2
"143","CPI-DNN",0.8,1000,"regression",43,FALSE,0.2
"144","CPI-DNN",0.8,1000,"regression",44,FALSE,0.2
"145","CPI-DNN",0.8,1000,"regression",45,FALSE,0
"146","CPI-DNN",0.8,1000,"regression",46,FALSE,0
"147","CPI-DNN",0.8,1000,"regression",47,FALSE,0
"148","CPI-DNN",0.8,1000,"regression",48,FALSE,0
"149","CPI-DNN",0.8,1000,"regression",49,FALSE,0
"150","CPI-DNN",0.8,1000,"regression",50,FALSE,0.2
"151","CPI-DNN",0.8,1000,"regression",51,FALSE,0
"152","CPI-DNN",0.8,1000,"regression",52,FALSE,0.2
"153","CPI-DNN",0.8,1000,"regression",53,FALSE,0
"154","CPI-DNN",0.8,1000,"regression",54,FALSE,0
"155","CPI-DNN",0.8,1000,"regression",55,FALSE,0
"156","CPI-DNN",0.8,1000,"regression",56,FALSE,0
"157","CPI-DNN",0.8,1000,"regression",57,FALSE,0.2
"158","CPI-DNN",0.8,1000,"regression",58,FALSE,0
"159","CPI-DNN",0.8,1000,"regression",59,FALSE,0
"160","CPI-DNN",0.8,1000,"regression",60,FALSE,0
"161","CPI-DNN",0.8,1000,"regression",61,FALSE,0
"162","CPI-DNN",0.8,1000,"regression",62,FALSE,0
"163","CPI-DNN",0.8,1000,"regression",63,FALSE,0
"164","CPI-DNN",0.8,1000,"regression",64,FALSE,0.2
"165","CPI-DNN",0.8,1000,"regression",65,FALSE,0.2
"166","CPI-DNN",0.8,1000,"regression",66,FALSE,0
"167","CPI-DNN",0.8,1000,"regression",67,FALSE,0
"168","CPI-DNN",0.8,1000,"regression",68,FALSE,0
"169","CPI-DNN",0.8,1000,"regression",69,FALSE,0
"170","CPI-DNN",0.8,1000,"regression",70,FALSE,0
"171","CPI-DNN",0.8,1000,"regression",71,FALSE,0
"172","CPI-DNN",0.8,1000,"regression",72,FALSE,0
"173","CPI-DNN",0.8,1000,"regression",73,FALSE,0
"174","CPI-DNN",0.8,1000,"regression",74,FALSE,0
"175","CPI-DNN",0.8,1000,"regression",75,FALSE,0.2
"176","CPI-DNN",0.8,1000,"regression",76,FALSE,0
"177","CPI-DNN",0.8,1000,"regression",77,FALSE,0
"178","CPI-DNN",0.8,1000,"regression",78,FALSE,0
"179","CPI-DNN",0.8,1000,"regression",79,FALSE,0.2
"180","CPI-DNN",0.8,1000,"regression",80,FALSE,0
"181","CPI-DNN",0.8,1000,"regression",81,FALSE,0.6
"182","CPI-DNN",0.8,1000,"regression",82,FALSE,0
"183","CPI-DNN",0.8,1000,"regression",83,FALSE,0
"184","CPI-DNN",0.8,1000,"regression",84,FALSE,0
"185","CPI-DNN",0.8,1000,"regression",85,FALSE,0
"186","CPI-DNN",0.8,1000,"regression",86,FALSE,0
"187","CPI-DNN",0.8,1000,"regression",87,FALSE,0
"188","CPI-DNN",0.8,1000,"regression",88,FALSE,0
"189","CPI-DNN",0.8,1000,"regression",89,FALSE,0
"190","CPI-DNN",0.8,1000,"regression",90,FALSE,0
"191","CPI-DNN",0.8,1000,"regression",91,FALSE,0
"192","CPI-DNN",0.8,1000,"regression",92,FALSE,0
"193","CPI-DNN",0.8,1000,"regression",93,FALSE,0
"194","CPI-DNN",0.8,1000,"regression",94,FALSE,0
"195","CPI-DNN",0.8,1000,"regression",95,FALSE,0
"196","CPI-DNN",0.8,1000,"regression",96,FALSE,0.2
"197","CPI-DNN",0.8,1000,"regression",97,FALSE,0
"198","CPI-DNN",0.8,1000,"regression",98,FALSE,0
"199","CPI-DNN",0.8,1000,"regression",99,FALSE,0
"200","CPI-DNN",0.8,1000,"regression",100,FALSE,0
